장르,곡 이름,아티스트,난이도 이름,레벨
BEMANI,CHERNOBOG,漆黒のEBONY,NOV,6
BEMANI,ビビットストリーム,DJ TOTTO,NOV,4
BEMANI,Phlox,Sota Fujimori 2nd Season,NOV,5
SDVXオリジナル,BELOBOG,"BEMANI Sound Team ""純白のIVORY""",NOV,7
BEMANI,蟲の棲む処,かめりあ feat. Nana Takahashi,NOV,6
SDVXオリジナル,Royal Judgement,Kobaryo,NOV,6
BEMANI,ロプノールの商隊,Akhuta,NOV,6
BEMANI,惑星☆ロリポップ,SOUND HOLIC feat. Nana Takahashi,NOV,5
BEMANI,分けるな危険！モモモモモモーイズム,ARM×狐夢想 feat. 桃井はるこ,NOV,5
FLOOR,Awakening,technoplanet,NOV,7
FLOOR,Wings of Glory,Crawk × Capchii,NOV,6
FLOOR,crossing blue,ぺのれり,NOV,6
FLOOR,Xéroa,かめりあ,NOV,7
FLOOR,BlueMoon Princess,うさぎ愛好会(cosMo×syuri22),NOV,6
FLOOR,プラネタジャーニー,U-ske feat.棗いつき,NOV,5
FLOOR,メルヘン風紀委員会,はるなば with すずしろ&桃箱,NOV,5
FLOOR,Яe's NoVǢ,からとP feat.リた☆,NOV,6
ボーカロイド,からくりピエロ(EXIT TUNES),40mP,NOV,2
SDVXオリジナル,GERBERA-For Finalists-,remixed by cosMo＠暴走P,NOV,7
その他,Libera me,Cranky,NOV,6
ボーカロイド,ワールズエンド・ダンスホール,wowaka,NOV,5
FLOOR,I,黒魔,NOV,8
FLOOR,A Lasting Promise,Laur,NOV,7
FLOOR,CUTE-Reflection,7mai,NOV,6
FLOOR,Cloud 9,雄之助,NOV,6
FLOOR,Sacrifice and Faith,ℱsinfonia（Yu_Asahina　溝口ゆうま　かなたん　大瀬良  あい）,NOV,6
FLOOR,神話に芽吹く,Cororo,NOV,6
FLOOR,僕らの時間,テヅカ feat. 大西あみみ,NOV,6
FLOOR,羅生門,TAKU1175 × かにまゆ,NOV,6
FLOOR,Last Resort,xi,NOV,7
FLOOR,BREAKNECK NY☆N! NY★N!,ZerA,NOV,6
FLOOR,planetarium,SUi,NOV,6
BEMANI,MONOLITH,TOMOSUKE,NOV,6
FLOOR,Lionheart,P4koo,NOV,5
FLOOR,Random Box,LATI,NOV,4
BEMANI,CARNIVOROUS,SOUND HOLIC feat. Nana Takahashi,NOV,5
BEMANI,スカイダイバー,ヒゲドライバー feat.ヒゲドライVAN,NOV,5
BEMANI,SPACE VILLAGE,サイバー劇レコ,NOV,6
BEMANI,それは花火のような恋,夏色バーニングラブ☆Prim,NOV,6
BEMANI,トキメキストリーム,Qrispy Joybox,NOV,4
BEMANI,びいすと！,ビートまりおとARM,NOV,6
SDVXオリジナル,VOLTEXES IV,"BEMANI Sound Team ""Sota Fujimori""",NOV,5
BEMANI,メイビ～初恋！？ビスケット☆大作戦,DJ TOTTO×mitsu feat.BisCo(CV:洲崎綾),NOV,6
BEMANI,Lost wing at.0,猫叉Master+,NOV,6
BEMANI,cobalt,Des-ROW・組スペシアル,NOV,5
BEMANI,НУМЛ,Zutt,NOV,6
FLOOR,極彩天奏,かゆき,NOV,6
FLOOR,Zelophilia,ぺのれり feat.ぁゅ,NOV,5
FLOOR,ツキアカリ,タケノコ少年,NOV,6
FLOOR,ボーイミーツ・ブルー,うさぎ愛好会(cosMo×syuri22),NOV,5
ひなビタ♪/バンめし♪,ルミナスデイズ,ここなつ,NOV,4
FLOOR,Lowermost revolt,かめりあ feat. 歌劇派学生,NOV,6
FLOOR,Royal Action,BlackY,NOV,6
FLOOR,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,FLOOR LEGENDS -KAC 2013-,NOV,7
FLOOR,おにいちゃんハイテック,立秋 feat.ちょこ,NOV,5
FLOOR,Chaotic Romance,はるなば,NOV,6
FLOOR,Khionos TiARA,Ellim Gnirps vs よみぃ,NOV,6
FLOOR,Goddess Bless you,winddrums,NOV,6
FLOOR,Xibercannon,隣の庭は青い(庭師+Aoi),NOV,6
FLOOR,Destruction & Qreation,polysha+inusack,NOV,5
FLOOR,DropZ-Line-,Getty vs. DJ DiA,NOV,6
BEMANI,Be a Hero!,中島由貴,NOV,5
FLOOR,PIERROT KNIfE,まろん (IOSYS),NOV,5
SDVXオリジナル,OPEN MY GATE,ARM×狐夢想 feat. RINA (I've),NOV,5
SDVXオリジナル,All Clear!!,sky_delta,NOV,5
SDVXオリジナル,Cy-Bird,Yooh,NOV,5
SDVXオリジナル,#SpeedyCats,RoughSketch a.k.a. uno(IOSYS),NOV,6
SDVXオリジナル,TWO-TORIAL,"BEMANI Sound Team ""PHQUASE vs DJ TOTTO""",NOV,7
SDVXオリジナル,Hug!! Vs. Hug!!,はるなば,NOV,6
SDVXオリジナル,BEAST BASS BOMB,Hommarju,NOV,6
SDVXオリジナル,Far Away,lapix,NOV,5
SDVXオリジナル,闇夜に舞うは紅の華,TAKU1175,NOV,5
SDVXオリジナル,GERBERA,"BEMANI Sound Team ""TAG""",NOV,6
FLOOR,It's a new day!,パピ子りんft.ビタミンな兄貴♂＆ゆずり,NOV,4
FLOOR,HP:1,Verdammt,NOV,6
FLOOR,QUAKE,Polyphonix,NOV,4
FLOOR,゜*。Chantilly Fille。*°,Ange;art,NOV,5
FLOOR,春時雨,まし,NOV,4
FLOOR,Fairy in Strasbourg,Laur,NOV,3
FLOOR,Poppin’Cats!!,やどりぎ,NOV,5
その他,DREAMING-ING!!,ときめきアイドル project,NOV,3
その他,怒槌,光吉猛修「CHUNITHM」より,NOV,6
その他,Scarlet Lance,MASAKI（ZUNTATA）「グルーヴコースター」より,NOV,6
その他,セイクリッド ルイン,Drop＆祇羽 feat. 葉月ゆら「太鼓の達人」より,NOV,6
SDVXオリジナル,炎夏の音,Vocal by 駄々子,NOV,5
SDVXオリジナル,狂騒こども節,Vocal by かなたん,NOV,4
SDVXオリジナル,新米天使のメランコリー,Vocal by 荒巻,NOV,5
SDVXオリジナル,地球防衛乙女パンナコッター,Vocal by はるの,NOV,3
SDVXオリジナル,テレポーテーションでやってきた彼とのその後の顛末,Vocal by 藍月なくる,NOV,4
SDVXオリジナル,ペタ靴と憂夜リムーバー,Vocal by ＯＲＩ姫,NOV,5
ひなビタ♪/バンめし♪,キリステゴメン,東雲夏陽,NOV,5
ひなビタ♪/バンめし♪,けもののおうじゃ★めうめう,日向美ビタースイーツ♪,NOV,5
ひなビタ♪/バンめし♪,シノビシノノメ,東雲心菜,NOV,4
ひなビタ♪/バンめし♪,銃弾は解を撃ち抜いて,日向美ビタースイーツ♪,NOV,5
ひなビタ♪/バンめし♪,Drizzly Venom,日向美ビタースイーツ♪,NOV,5
ひなビタ♪/バンめし♪,ナイト・オブ・ロンド,日向美ビタースイーツ♪,NOV,3
ひなビタ♪/バンめし♪,ミラクル・スイート・スイーツ・マジック！！,日向美ビタースイーツ♪,NOV,4
FLOOR,couleur automnes de chocolat,Citrus and Ocean Colour,NOV,4
FLOOR,Ghost Trigger,u-z feat.CHERICa,NOV,6
FLOOR,Sadistic Stabbing,ぬゆりとびす,NOV,5
BEMANI,Time to Air (jazz it up style),borzy,NOV,4
東方アレンジ,チルノのパーフェクトさんすう教室　⑨周年バージョン,IOSYSと愉快な⑨周年フレンズ,NOV,5
その他,Doppelganger,LeaF,NOV,6
FLOOR,NEON LOVE♥POTION!!!,パイタン,NOV,5
FLOOR,444,ZYTOKINE feat. aki,NOV,5
BEMANI,waxing and wanding(SS Remix),しま兄,NOV,4
FLOOR,WONDER_WOBBLER,brz,NOV,5
BEMANI,Glitter Flatter Scatter,Project B-,NOV,6
東方アレンジ,Claidheamh Soluis-光の剣- feat.はるの,猫大樹,NOV,4
東方アレンジ,のぼれ八坂坂！,ビートまりおとARM,NOV,4
東方アレンジ,胸の中で誰かが,幽閉サテライト,NOV,2
FLOOR,Apocrypha,お月さま交響曲,NOV,5
FLOOR,Grand-Guignol,モリモリあつし,NOV,6
FLOOR,獅子奮迅,a_hisa vs KV.S&はらたま,NOV,5
FLOOR,Spirit of the Beast,ikaruga_nex fw.tcheb,NOV,6
FLOOR,Fáfnir,Aoi Sumito a.k.a. あおいひと,NOV,5
BEMANI,Concertino in Blue,佐々木博史,NOV,6
SDVXオリジナル,ULTiMATE INFLATiON,cosMo＠暴走Genocider,NOV,6
SDVXオリジナル,神獄烙桜,かゆき,NOV,6
SDVXオリジナル,Juggler's Maddness,Lite Show Magic,NOV,6
SDVXオリジナル,Staring at star,MisoilePunch♪ ～タケノコ添え～,NOV,6
SDVXオリジナル,セイレーン ～悲壮の竪琴～,ぺのれり,NOV,6
SDVXオリジナル,Dyscontrolled Galaxy,かめりあ,NOV,6
SDVXオリジナル,Deadly force,Noah,NOV,6
SDVXオリジナル,FIN4LE ～終止線の彼方へ～,カモメサノエレクトリックオーケストラ,NOV,7
SDVXオリジナル,WHITEOUT,かねこちはる,NOV,7
SDVXオリジナル,Mirrorwall,BlackY,NOV,6
BEMANI,Theme of Ricerca,HuΣeR feat.ゆきまめ,NOV,6
その他,Altale,削除,NOV,5
その他,PUPA,モリモリあつし,NOV,6
FLOOR,Game Over,Ancraft,NOV,5
FLOOR,JUNKIE FLAVOR,yaseta + Hidra-Xjeil,NOV,6
FLOOR,dreamin' of u,Jun Kuroda,NOV,5
FLOOR,rhythmology study,古屋直雪,NOV,5
FLOOR,Legendary Road,kanone,NOV,6
東方アレンジ,SACRIFICE feat. ayame,Alstroemeria Records,NOV,5
東方アレンジ,廃獄ドリームランド,SOUND HOLIC feat. Nana Takahashi,NOV,4
東方アレンジ,Burn everything,LiLA'c Records,NOV,2
東方アレンジ,冒涜的選択のアレグリア ft. Mayumi Morinaga,Iceon(Frost Fragment),NOV,3
東方アレンジ,Root Consciousness,溝口ゆうま feat.大瀬良あい vs. QURELESS,NOV,3
FLOOR,オンディーヌの泪,かねこちはる,NOV,6
FLOOR,ゴーストマスコット,はるなば feat.みかん汁,NOV,4
FLOOR,Gorgetech,Shiron,NOV,5
東方アレンジ,少女救世論,暁Records,NOV,3
東方アレンジ,Sweet Requiem,REDALiCE & aran,NOV,6
FLOOR,SprrRush!!,MisoilePunch♪ feat.KIRARI,NOV,5
東方アレンジ,つるぺったん,Silver Forest feat. くろねこ アキ さきち カガリ,NOV,4
FLOOR,ぱあ,立秋 feat.ちょこ,NOV,4
東方アレンジ,Finale,A-One,NOV,5
東方アレンジ,I feel something for you,556ミリメートル,NOV,2
東方アレンジ,透明な記憶の風穴,少女フラクタル,NOV,4
東方アレンジ,FIRE IN MY HEART,Spacelectro,NOV,2
東方アレンジ,幽玄の桜,音召缶 feat.Renna,NOV,5
東方アレンジ,雷鼓サンダービート,ARM(IOSYS) feat.ビートまりお(COOL&CREATE),NOV,5
東方アレンジ,Regretful Flower,Amateras Records feat.築山さえ,NOV,4
東方アレンジ,私とあなたのMYOURENJI☆,歌恋人,NOV,3
FLOOR,Vigor,Yooh,NOV,5
FLOOR,The Golden Era,polysha,NOV,6
BEMANI,405nm(Shu※mix),Shu※,NOV,6
BEMANI,Mind Mapping(ag Remix),ag,NOV,4
ひなビタ♪/バンめし♪,恋とキングコング,日向美ビタースイーツ♪,NOV,3
東方アレンジ,Technical Master,天音 (Rolling Contact),NOV,4
東方アレンジ,Dystopia,DiGiTAL WiNG feat.花たん/YURiCa,NOV,2
東方アレンジ,トーホータノシ (feat. 抹),魂音泉,NOV,5
東方アレンジ,NEWBORN CRYING,ZYTOKINE feat. nachi,NOV,3
東方アレンジ,物凄いスペースシャトルでこいしが物凄いうた,Halozy feat. ななひら,NOV,5
東方アレンジ,Crystallize Forest,奏瀬いちこ feat.Silver Forest,NOV,3
東方アレンジ,Blue Fire,REDALiCE feat. 野宮あゆみ,NOV,4
東方アレンジ,Voltage Higher,A-One,NOV,5
FLOOR,Gaze ft. 紫崎 雪,Omnis,NOV,5
FLOOR,Junk Mania,udouddo&VALLEYSTONE,NOV,5
BEMANI,雪月花 (Shiron & Sound Artz Remix),Shiron vs. Sound Artz,NOV,4
BEMANI,Narcissus At Oasis (Freezer Remix),Freezer,NOV,5
BEMANI,We Go Down,DJ Genki feat. SHIN from HYPERNOVA With 三代,NOV,6
その他,The Formula,Junk,NOV,5
FLOOR,Inscape,technoplanet,NOV,6
FLOOR,VAMPIRE,nyankobrq,NOV,4
FLOOR,クリスタルミサイル,フーリンキャットマーク～with 鳴紗,NOV,3
FLOOR,Smoked Turkey Rag,a_hisa,NOV,4
FLOOR,Cepheus,しらこいし,NOV,4
FLOOR,FLOOR INFECTION Medley from SOUND VOLTEX×jubeat,United Composers from SOUND VOLTEX,NOV,6
FLOOR,湖底遺跡のヴィダー・ハル,borzy & 結月そら,NOV,4
FLOOR,sink into the dream,uma,NOV,4
BEMANI,Genesis At Oasis (Hirayasu Matsudo Remix),Hirayasu Matsudo,NOV,5
ボーカロイド,パンダヒーロー,ハチ,NOV,2
BEMANI,POLICY BREAK Medley from SOUND VOLTEX×jubeat,United Composers from jubeat,NOV,5
ボーカロイド,マトリョシカ,ハチ,NOV,3
BEMANI,Line 4 Ruin -kohumix-,こふ,NOV,5
ひなビタ♪/バンめし♪,ナナイロライト,ここなつ,NOV,3
FLOOR,iLLness LiLin,かねこちはる,NOV,7
FLOOR,ΩVERSOUL,BlackY,NOV,6
FLOOR,Gamerz FestivaL,うさぎ愛好会(cosMo×syuri22),NOV,6
FLOOR,Sailing Force,ぺのれり,NOV,7
FLOOR,超☆超☆光☆速☆出☆前☆最☆速!!! スピード★スター★かなで,かめりあ feat. ななひら,NOV,8
BEMANI,Rebellio,MAX MAXIMIZER VS DJ TOTTO,NOV,7
BEMANI,Fly far bounce,猫叉Master,NOV,5
BEMANI,恋歌疾風！かるたクイーンいろは,ねこまんまチーム！,NOV,5
FLOOR,Carry Me Away,lapix,NOV,5
BEMANI,壊Rave*it!! 壊Rave*it!!,LeaF,NOV,6
FLOOR,SO FLY ME TO YOU,ローゼライト powered by mu-ray,NOV,3
BEMANI,Narcissus At Oasis -影虎。 style-,影虎。,NOV,5
BEMANI,Boss Rush,USAO,NOV,6
BEMANI,If,Pa's Lam System,NOV,5
FLOOR,infinite:youniverse,かゆき,NOV,6
FLOOR,Immortal saga,Noah,NOV,6
FLOOR,Fin.ArcDeaR,MisoilePunch♪ ～タケノコ添え～,NOV,6
FLOOR,HE4VEN ～天国へようこそ～,カモメサノエレクトリックオーケストラ,NOV,7
FLOOR,Make Magic,Lite Show Magic,NOV,6
東方アレンジ,ケムマキunderground,t+pazolite feat. リズナ,NOV,6
東方アレンジ,盗宝,猫大樹,NOV,3
東方アレンジ,刃の如く ft. ネコメアリ,Iceon(Frost Fragment),NOV,3
ひなビタ♪/バンめし♪,デュアルメモリ,ここなつ,NOV,3
BEMANI,Engraved Mark-Gow's ill! RMX-,Gowrock,NOV,6
BEMANI,Sakura Mirage -Drum'n World-,Kairys,NOV,5
FLOOR,準備運動,すのうまん,NOV,6
FLOOR,fancy cake!!,あるふぁ,NOV,5
BEMANI,Rebuilding of Paradise Lost,Laur,NOV,5
FLOOR,黎明スケッチブック,アメツチ絵日記,NOV,5
FLOOR,ドリームエンド・サバイバー,ぽんきち,NOV,6
FLOOR,キュリオシティ,庭師,NOV,6
FLOOR,Noisy Minority,DJ Grimoire,NOV,6
BEMANI,3y3s (JMBS FUNKOT RMX),"Jockie ""MASTA BASS"" Suama",NOV,5
その他,Aragami,xi,NOV,6
東方アレンジ,Alice Maestera feat. nomico,Alstroemeria Records,NOV,2
東方アレンジ,斑鳩,豊田竜行,NOV,3
ボーカロイド,インビジブル(EXIT TUNES),kemu,NOV,5
ボーカロイド,インフルエンサー・イズ・デッド(EXIT TUNES),じーざす（ワンダフル☆オポチュニティ！）,NOV,2
ボーカロイド,裏表ラバーズ,wowaka,NOV,3
ボーカロイド,永遠に幸せになる方法、見つけました。(EXIT TUNES),うたたP,NOV,4
FLOOR,EDEN of TRUTH,Braflare(kanone&かぼちゃ),NOV,5
BEMANI,Aurora(Latinized Style),mommy,NOV,4
その他,オトゲラヴ！,ねこみりん feat.小宮真央×みゆ×えみゅう。,NOV,5
BEMANI,朧 (kamome sano remix),kamome sano feat. Kuroa*,NOV,4
その他,Candy Star,DJ Genki feat. yukacco,NOV,4
BEMANI,きゅん×きゅんばっきゅん☆LOVE,松下feat.Sota & wac,NOV,4
FLOOR,JUGGLE,Ras,NOV,4
その他,JULIAN,Queen P.A.L.,NOV,5
FLOOR,水槽のクジラ,テヅカ feat. 大西あみみ,NOV,5
BEMANI,starmine (nora2r Remix),nora2r,NOV,6
BEMANI,Second Heaven GravityPfArrange,cosMo＠暴走P,NOV,5
ボーカロイド,千本桜,黒うさP feat.初音ミク,NOV,2
BEMANI,零の位相,kradness,NOV,5
FLOOR,Dharma,Massive New Krew,NOV,5
FLOOR,Chocolate Planet,Freezer feat.妃苺,NOV,6
東方アレンジ,Take to Lips,Sound CYCLONE feat.大瀬良あい&℃iel,NOV,2
東方アレンジ,トラウマ催眠少女さとり！,DJ SHARPNEL feat. 一ノ瀬月琉,NOV,6
その他,TRICKL4SH 220,Lite Show Magic,NOV,6
その他,Dreadnought,Mastermind(xi+nora2r),NOV,6
その他,New Game feat.Mayumi Morinaga,The 4th,NOV,5
東方アレンジ,Nostalgia,矢鴇つかさ feat. 三澤秋,NOV,3
その他,HiGHER,REDALiCE,NOV,5
FLOOR,Four Leaves,Endorfin.,NOV,5
FLOOR,Heavenly Adventure,Soleily,NOV,5
SDVXオリジナル,HEAVENLY SMILE,VALLEYSTONE feat. 紫崎 雪,NOV,5
BEMANI,bass 2 bass [Tracy vs. Astronomical Remix],Tracy vs. Astronomical,NOV,4
その他,Poppin' Shower,P*Light,NOV,4
その他,焔 -MAGMA-,SOUND HOLIC feat. Nana Takahashi,NOV,6
東方アレンジ,LOVE EAST,暁Records,NOV,3
その他,Solar Storm,xi「グルーヴコースター 3 リンクフィーバー」より,NOV,6
BEMANI,{albus},かめりあ,NOV,6
FLOOR,いつかの夢、またねの約束。,TAKU1175 ft. 駄々子,NOV,4
FLOOR,#Endroll,uno & D.watt (IOSYS TRAX),NOV,5
FLOOR,Quaint Echo,KLing(Aoi+Yunosuke),NOV,6
FLOOR,Zero-Day Exploit,Trerey-U,NOV,6
ひなビタ♪/バンめし♪,ヒミツダイヤル,ここなつ,NOV,3
BEMANI,Metamorphobia,winddrums,NOV,6
FLOOR,ゆうしゃのふゆやすみ,Verdammt,NOV,4
FLOOR,REGALIA,Riz,NOV,6
東方アレンジ,シアワセうさぎ,あまね＋ビートまりお（COOL&CREATE）,NOV,2
東方アレンジ,Lonly Ranunculus,Amateras Records feat.築山さえ,NOV,4
BEMANI,JOMANDA,DJ YOSHITAKA,NOV,6
SDVXオリジナル,極圏,cosMo VS dj TAKA,NOV,6
東方アレンジ,アルティメットトゥルース -Phantasm-,ふりらい feat. あにょ,NOV,5
東方アレンジ,Issen,tanso a.k.a. モリヤマサト,NOV,4
東方アレンジ,Clash of swords,Noah,NOV,6
東方アレンジ,ジャンピン・スマイル,梅干茶漬け,NOV,5
東方アレンジ,Spice Road,C-CLAYS feat.小峠舞,NOV,3
東方アレンジ,東方妖々夢 ULTIMATE MEDLEY,uma vs. モリモリあつし,NOV,6
東方アレンジ,Phantom dinning tonight!,Tomoya feat. 黒崎朔夜,NOV,4
東方アレンジ,lost chain,まぁ言うてかぼちゃの色も橙だし多分大丈夫,NOV,4
FLOOR,IKAROS DYNAMITE!!!!,BlackY,NOV,6
FLOOR,Emperor's Divide,にゃそ,NOV,6
FLOOR,cross the future,uma,NOV,5
FLOOR,GEOMETRIA,Shiron,NOV,6
BEMANI,絶対零度,かねこちはる,NOV,6
FLOOR,↓↓↓,庭師,NOV,6
BEMANI,ネコクマウササー,溝口ゆうま feat. みこ♡なち♡あい,NOV,5
FLOOR,Prayer,ぺのれり,NOV,6
ひなビタ♪/バンめし♪,バイナリスター,ここなつ,NOV,3
東方アレンジ,Shirogane,nmk vs b-UMB feat.青砥 雫 a.k.a. ℃iel,NOV,3
東方アレンジ,そして紫の幻想曲は全てを受け入れる,黄泉路テヂーモ×dawn-system,NOV,5
東方アレンジ,Fabula Nova,unatra,NOV,3
東方アレンジ,MAGATORO,上村香月,NOV,4
東方アレンジ,You Know-SDVX EDIT-,源屋 with Kuroa*,NOV,4
ボーカロイド,ANTI THE∞HOLiC(EXIT TUNES),GAiA×cosMo＠暴走P,NOV,5
その他,０=Xerostrumental=(EXIT TUNES),cosMo＠暴走P,NOV,4
その他,Halcyon,xi,NOV,6
SDVXオリジナル,FLügeL《Λrp:ΣggyØ》,かねこちはる,NOV,7
ひなビタ♪/バンめし♪,イブの時代っ！,日向美ビタースイーツ♪,NOV,3
BEMANI,Angelic Jelly,t+pazolite,NOV,6
BEMANI,Grand Chariot,xi,NOV,5
BEMANI,StrayedCatz,削除,NOV,3
BEMANI,Sephirot,SHIKI,NOV,3
BEMANI,ZEPHYRANTHES,TAG,NOV,6
SDVXオリジナル,DIABLOSIS::Nāga,sky_delta,NOV,7
BEMANI,Triple Counter,DJ YOSHITAKA meets dj TAKA,NOV,7
SDVXオリジナル,NEO TREASON,lapix,NOV,5
SDVXオリジナル,Lord=Crossight,ぺのれり,NOV,7
FLOOR,eastward -sdvx edit-,ginkiha,NOV,4
FLOOR,Voynich:Manuscript,かゆき,NOV,5
SDVXオリジナル,Completeness Under Incompleteness,"かめりあ as ""Reverse of Riot""",NOV,5
FLOOR,The End of War,たちのん as Project Mayhem,NOV,5
SDVXオリジナル,Celestial stinger,Noah,NOV,6
その他,B.B.K.K.B.K.K.,nora2r,NOV,5
東方アレンジ,akasha-assembly,溝口ゆうま from セブンスヘブンAmmy's,NOV,5
SDVXオリジナル,ウエンレラの氷華,Cororo,NOV,5
東方アレンジ,Everything but the Girl,発熱巫女～ず,NOV,3
SDVXオリジナル,Ok!! Hug Me,はるなば,NOV,6
東方アレンジ,Death Blossom,REDALiCE feat. Ayumi Nomiya,NOV,5
東方アレンジ,Never Let It End,FELT,NOV,3
BEMANI,Paradission,BlackY,NOV,5
BEMANI,MERRiESTxHOLiC,miko♡nachi feat.u-z,NOV,3
BEMANI,Laughin' Muffin,Gowrock,NOV,5
東方アレンジ,Locus of Control,EastNewSound feat. 3L from NJK Record,NOV,3
BEMANI,Lo-Fi-M,yaseta,NOV,5
東方アレンジ,或る春の日,豚乙女,NOV,3
東方アレンジ,ゲキツイムラサ,ビートまりお（COOL&CREATE）,NOV,5
東方アレンジ,善悪の頂にある真実,幽閉サテライト feat. senya,NOV,2
東方アレンジ,Solitude & Nightmare,猫大樹,NOV,4
東方アレンジ,Discover the Life,A-One,NOV,4
東方アレンジ,ancient garden,Cororo,NOV,4
BEMANI,踊るフィーバーロボ,ダニエル&eimy と よしくん,NOV,6
SDVXオリジナル,Get back here,Hommarju,NOV,6
BEMANI,Time to Air -Fly High Remix-,xi,NOV,6
東方アレンジ,Deadly Dolly Dance,Shiron,NOV,6
東方アレンジ,花ノ下連歌,Jan★Key,NOV,4
BEMANI,Mermaid girl (Tropical Remix),Hyuji feat. LIQU@。,NOV,4
東方アレンジ,Ultimate Ascension,かめりあ,NOV,6
東方アレンジ,Smooth Wind,とろまる,NOV,5
東方アレンジ,鳥と桜と嘴と,マッカチン企画,NOV,3
東方アレンジ,NECRO PARTY,VALLEYSTONE vs udouddo,NOV,5
東方アレンジ,ハイスピヰド・ランパンシヰ,はがね,NOV,5
東方アレンジ,"Help me, ERINNNNNN!! -VENUS mix-",VENUS,NOV,5
東方アレンジ,仙酌絶唱のファンタジア,博麗神社例大祭コラボユニット,NOV,5
BEMANI,I'm so happy(Happy Hoppin Remix),polysha,NOV,4
東方アレンジ,碧の疾風,君の美術館,NOV,4
FLOOR,UROBØROS,溝口ゆうま feat. 大瀬良あい,NOV,5
BEMANI,Critical Crystal(brz_remix),brz,NOV,3
東方アレンジ,Sweet little Lily,奏瀬いちこ (Silver Forest),NOV,3
BEMANI,雪月花 -さわわRemix-,さわわ,NOV,6
東方アレンジ,"Help me, ERINNNNNN!! -Cranky remix-",ビートまりお × Cranky,NOV,6
BEMANI,Mind Mapping (hard liquid remix),borzy,NOV,5
ひなビタ♪/バンめし♪,双星ルミネセンス,一舞 ＆ 夏陽,NOV,4
FLOOR,Apex of the World,uma&hurirai feat.ましろ,NOV,5
FLOOR,Endless GRAVITY,kanone,NOV,6
東方アレンジ,crescent moon,FELT,NOV,4
東方アレンジ,GRISAILLE,SOUND HOLIC feat. Nana Takahashi,NOV,5
FLOOR,侍Annihilate!!,QURELESS,NOV,6
東方アレンジ,CENSORED!!,t+pazolite,NOV,6
SDVXオリジナル,Destroy,Yooh,NOV,6
FLOOR,ブチアゲドクター☆ハイテッコ三姉妹,溝口ゆうま feat. みこ♡なち♡あい,NOV,5
FLOOR,relegation grimoire,tsuzu,NOV,4
東方アレンジ,恋繋エピローグ,Amateras Records feat.KUMI(ヲタみん),NOV,5
東方アレンジ,幻想郷DEMPASTICグリーティング,ARM(IOSYS) feat. 愛原千尋,NOV,5
東方アレンジ,墨染 ft. ネコメアリ,Iceon(Frost Fragment),NOV,3
東方アレンジ,断罪は遍く人間の元に,Unlucky Morpheus,NOV,5
東方アレンジ,弾幕注意報2014,東京アクティブNEETs,NOV,4
東方アレンジ,Prominence,矢鴇つかさ feat. 佳織みちる,NOV,3
BEMANI,アキネイション,ビートまりお（COOL&CREATE）,NOV,6
BEMANI,The star in eclipse,しーけー,NOV,6
BEMANI,Din Don Dan (Fusion Remix),TAKU1175 feat.かなたん,NOV,5
その他,Dualive(EXIT TUNES),Quarks(kradness×Camellia),NOV,5
BEMANI,爆なな☆てすとロイヤー,ARM feat.ななひら,NOV,5
その他,GO BACK 2 YOUR RAVE,nora2r,NOV,5
ひなビタ♪/バンめし♪,カタルシスの月,日向美ビタースイーツ♪,NOV,4
BEMANI,黒髪乱れし修羅となりて～凛 edition～,日向美ビタースイーツ♪,NOV,5
ひなビタ♪/バンめし♪,虚空と光明のディスクール,日向美ビタースイーツ♪,NOV,3
ひなビタ♪/バンめし♪,水月鏡花のコノテーション,日向美ビタースイーツ♪,NOV,4
ひなビタ♪/バンめし♪,滅びに至るエランプシス,日向美ビタースイーツ♪,NOV,3
東方アレンジ,Question.,Tracy feat.築山さえ,NOV,4
東方アレンジ,人形裁判 -THIRD IMPACT-,激戦の人,NOV,5
東方アレンジ,-約束-,ばんし,NOV,4
その他,Parousia,xi,NOV,5
SDVXオリジナル,archive::zip,kamome sano,NOV,4
SDVXオリジナル,Inixia,xi,NOV,5
BEMANI,Virtual Bit,KAN TAKAHIKO,NOV,5
SDVXオリジナル,ERROR CODE,C-Show,NOV,5
SDVXオリジナル,XROSS THE XOUL,BlackY vs. Yooh,NOV,6
東方アレンジ,S1CK_F41RY,HOUJIROU,NOV,5
東方アレンジ,Phantom Ensemble (ゆんゆん Remix),ゆんゆん,NOV,3
東方アレンジ,Russet,wellow,NOV,4
SDVXオリジナル,Renegade Fruits,t+pazolite,NOV,6
BEMANI,She is my wife,SUPER STAR 満-MITSURU-,NOV,5
東方アレンジ,お嫁にしなさいっ！,ARM＋夕野ヨシミ (IOSYS),NOV,4
東方アレンジ,響縁,豚乙女,NOV,4
FLOOR,Enigma,とろまる,NOV,6
FLOOR,MG277,eicaTV vs kanone,NOV,6
SDVXオリジナル,Never Fails,lapix,NOV,6
FLOOR,Fox4-Raize-,Getty vs. DJ DiA,NOV,6
FLOOR,Follow Up,あるふぁ,NOV,5
FLOOR,REVOLVER,sky_delta,NOV,6
FLOOR,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,FLOOR LEGENDS -KAC 2013-,NOV,5
